Rejection_Rate,Date,Season_Year,County,#loads,Tomato_variety,Average_worm/insect_damage,Average_mold,Average_green,Average_material_other_than_tomatoes,Average_hue_loads,Average_hue,Average_color,Average_solids,Average_pH
0.0,2017-08-19,2017,KINGS,133.0,"415-6415, N",0.0,2.5,0.6,0.4,121.5968847352025,19.085844195210672,24.9,5.12,4.53
0.0003000300030003,2014-10-11,2014,  SAN JOAQUIN,114.0,"907-1170, HEINZ",0.0,3.0,0.4,0.7,121.5968847352025,19.085844195210672,22.0,5.56,4.29
0.0391304347826087,2020-08-08,2020,MERCED,146.0,"901-9011, SVTM",0.0,1.9,2.8,0.5,146.0,21.6,0.0,6.24,4.45
0.0,2016-08-27,2016,  KINGS,57.0,"180-18806, UG",0.0,1.7,1.3,1.5,121.5968847352025,19.085844195210672,25.6,5.39,4.39
0.0008187772925764,2013-10-05,2013,  SAN JOAQUIN,88.0,"368-6368, SUN",0.0,1.5,0.7,0.4,121.5968847352025,19.085844195210672,25.2,4.5,4.32
0.0,2014-09-27,2014,  SAN JOAQUIN,130.0,"990-9905, HARRIS MORAN",0.0,0.3,0.7,1.1,121.5968847352025,19.085844195210672,24.2,4.94,4.38
0.001068376068376,2014-07-26,2014,  YOLO,6.0,"962-296, BQ",0.0,0.1,4.7,0.9,121.5968847352025,19.085844195210672,23.7,5.73,4.23
0.0015527950310559,2013-09-21,2013,  COLUSA,103.0,"702-5702, HZ",0.0,2.8,8.5,1.8,121.5968847352025,19.085844195210672,24.7,4.79,4.5
0.0002840909090909,2013-08-24,2013,  YOLO,9.0,"509-66509, BOS",0.0,1.8,0.0,0.4,121.5968847352025,19.085844195210672,24.0,4.98,4.43
0.0,2017-08-19,2017,KINGS,689.0,"488-4885, HMX",0.0,2.1,0.8,0.4,121.5968847352025,19.085844195210672,24.0,5.33,4.46
0.0044158233670653,2017-09-02,2017,MERCED,95.0,"706-5706, HZ",0.0,0.7,2.2,4.1,0.0,0.0,23.1,5.58,4.53
0.0,2013-08-10,2013,  SOLANO,90.0,"978-9780, HEINZ",0.0,1.2,2.1,1.9,121.5968847352025,19.085844195210672,25.0,5.55,4.35
0.0,2012-09-15,2012,  SOLANO,13.0,"31-0319, DRI",0.0,0.4,0.2,0.2,121.5968847352025,19.085844195210672,23.7,6.84,4.22
0.0044158233670653,2017-09-02,2017,MERCED,47.0,"319-0319, DRI",0.0,5.1,3.3,1.7,0.0,0.0,23.7,5.78,4.56
0.0070921985815602,2017-09-02,2017,SUTTER,17.0,"887-3887, HMX",0.0,0.4,0.3,0.1,0.0,0.0,26.0,5.36,4.39
0.0008354218880534,2016-09-03,2016,  SUTTER,87.0,"82-282, CXD",0.0,1.9,1.3,0.2,121.5968847352025,19.085844195210672,23.5,5.04,4.43
0.0002343127606729,2014-07-26,2014,  FRESNO,442.0,"885-7885, HMX",0.0,0.2,0.4,0.2,121.5968847352025,19.085844195210672,23.6,5.1,4.52
0.0,2019-08-24,2019,SOLANO,111.0,"28-6428, N",0.0,0.8,0.6,0.2,111.0,22.1,0.0,4.8,4.37
0.0052465897166841,2010-10-02,2010,  SAN BENITO,42.0,368  SUN 6368,0.0,0.3,0.7,0.6,121.5968847352025,19.085844195210672,23.2,4.96,4.35
0.0004346881112801,2015-07-25,2015,  YOLO,68.0,"42-6402, N",0.0,0.5,0.3,0.2,121.5968847352025,19.085844195210672,25.1,5.2,4.33
0.0019300051466803,2017-08-26,2017,FRESNO,25.0,"655-5655, SV",0.0,2.1,0.6,0.0,121.5968847352025,19.085844195210672,26.5,5.13,4.5
0.0,2018-08-18,2018,KERN,5.0,"477-4707, HEINZ",0.0,1.6,0.2,0.5,5.0,24.1,0.0,4.66,4.45
0.002840909090909,2014-11-01,2014,  SAN JOAQUIN,1.0,0-UNCODED,0.0,1.5,1.0,0.0,121.5968847352025,19.085844195210672,24.0,4.2,4.23
0.0053667262969588,2012-10-06,2012,  SUTTER,1.0,"502-205, BQ",0.0,2.0,0.0,0.5,121.5968847352025,19.085844195210672,22.0,5.9,4.21
0.0086877000457247,2019-09-28,2019,YOLO,208.0,"820-1082, SVTM",0.0,1.1,0.2,0.3,208.0,20.4,0.0,5.37,4.35
0.0003926958570587,2014-09-20,2014,  YOLO,"1,606","558-5508, HZ",0.0,0.5,1.2,0.3,121.5968847352025,19.085844195210672,26.2,4.26,4.29
0.0100200400801603,2009-09-05,2009,  SUTTER,95.0,800  HEINZ 8004,0.0,0.3,0.5,0.3,121.5968847352025,19.085844195210672,24.9,5.64,4.41
0.0013400098737569,2010-07-31,2010,  FRESNO,370.0,373  VDB U 373Cur Wk,0.0,0.4,0.2,0.3,121.5968847352025,19.085844195210672,27.2,5.05,4.34
0.0007933989209774,2014-07-26,2014,  KINGS,298.0,"69-1161, HEINZ",0.0,0.3,2.4,0.2,121.5968847352025,19.085844195210672,24.5,5.85,4.32
0.0008187772925764,2013-10-05,2013,  SAN JOAQUIN,76.0,"111-0311, DRI",0.0,4.9,0.3,0.3,121.5968847352025,19.085844195210672,22.5,5.12,4.31
0.0013673655423883,2010-10-09,2010,  SOLANO,288.0,194  UNITED GENETICS UG 19406,0.0,1.6,0.2,0.4,121.5968847352025,19.085844195210672,22.6,5.45,4.38
0.0081242532855436,2010-10-02,2010,  YOLO,56.0,995  HEINZ 9995,0.0,0.8,0.9,0.3,121.5968847352025,19.085844195210672,22.4,5.58,4.36
0.0025641025641025,2009-08-29,2009,  SUTTER,250.0,663  HEINZ 9663,0.0,2.7,2.5,1.0,121.5968847352025,19.085844195210672,23.4,5.31,4.46
0.0005929439667951,2009-07-25,2009,  YOLO,975.0,503  HEINZ 5003,0.0,0.1,1.9,0.8,121.5968847352025,19.085844195210672,26.6,5.15,4.43
0.0,2012-09-08,2012,  SACRAMENTO,44.0,"102-2, AB",0.0,0.7,0.1,0.6,121.5968847352025,19.085844195210672,23.7,5.56,4.28
0.0039394894421682,2012-09-15,2012,  YOLO,42.0,"494-9494, HEINZ",0.0,1.2,4.2,1.9,121.5968847352025,19.085844195210672,25.2,4.67,4.34
0.0042139384116693,2013-09-28,2013,  STANISLAUS,129.0,"502-205, BQ",0.0,2.3,0.7,0.5,121.5968847352025,19.085844195210672,24.8,5.35,4.33
0.0,2014-09-27,2014,  MERCED,12.0,"319-0319, DRI",0.0,6.8,2.5,0.3,121.5968847352025,19.085844195210672,28.8,4.82,4.39
0.0056571751838581,2016-09-17,2016,  MERCED,122.0,"558-5508, HZ",0.0,0.2,1.5,0.3,121.5968847352025,19.085844195210672,23.4,5.44,4.27
0.0,2009-08-15,2009,  KINGS,5.0,925  HEINZ 9205Cur Wk,0.0,1.5,1.7,0.5,121.5968847352025,19.085844195210672,22.8,5.02,4.41
0.0,2013-10-05,2013,  KINGS,23.0,0-UNCODED,0.0,0.3,2.3,0.6,121.5968847352025,19.085844195210672,27.2,5.07,4.33
0.0,2009-09-12,2009,  KERN,1.0,0.0UNCODED,0.0,7.5,1.0,0.0,121.5968847352025,19.085844195210672,23.0,5.1,4.68
0.0044052863436123,2016-09-17,2016,  YOLO,2.0,"141-141, BQ",0.0,1.3,6.3,3.0,121.5968847352025,19.085844195210672,25.0,5.45,4.36
0.0053667262969588,2012-10-06,2012,  SUTTER,2.0,"44-6404, NUNHEMS",0.0,2.8,0.0,0.0,121.5968847352025,19.085844195210672,20.0,5.9,4.33
0.0013898540653231,2019-10-05,2019,FRESNO,138.0,"111-0311, AB",0.0,2.0,2.0,0.3,138.0,20.2,0.0,5.23,4.39
